nombre,poblacion,superficie,continente
Italia,60367477,301340,Europa
Jamaica,2961161,10991,América
Japón,125800000,377975,Asia
Jordania,10203134,89342,Asia
Kazajistán,18754440,2724900,Asia
Kenia,54985698,580367,África
Kirguistán,6591600,199951,Asia
Kiribati,119449,811,Oceanía
Kuwait,4270571,17818,Asia
Laos,7379358,236800,Asia
Lesoto,2142249,30355,África
Letonia,1901548,64589,Europa
Líbano,6825445,10452,Asia
Liberia,5057681,111369,África
Libia,6871292,1759540,África
Liechtenstein,38128,160,Europa
Lituania,2876474,65300,Europa
Luxemburgo,634814,2586,Europa
Macedonia del Norte,2083459,25713,Europa
Madagascar,27691018,587041,África
Malasia,32365999,329847,Asia
Malaui,19129952,118484,África
Maldivas,540544,298,Asia
Malí,22395489,1240192,África
Malta,514564,316,Europa
Marruecos,36910560,446550,África
Mauricio,1265740,2040,África
Mauritania,4649658,1030700,África
México,128932753,1964375,América
Micronesia,115023,702,Oceanía
Moldavia,2617820,33846,Europa
Mónaco,39242,2,Europa
Mongolia,3278292,1564110,Asia
Montenegro,621718,13812,Europa
Mozambique,31255435,801590,África
Namibia,2587801,824292,África
Nauru,10876,21,Oceanía
Nepal,29136808,147181,Asia
Nicaragua,6624554,130373,América
Níger,24206644,1267000,África
Nigeria,206139589,923768,África
Noruega,5421241,323802,Europa
Nueva Zelanda,5084300,270467,Oceanía
Omán,4520471,309500,Asia
Países Bajos,17618299,41543,Europa
Pakistán,220892340,881913,Asia
Palaos,18008,459,Oceanía
Panamá,4351267,75417,América
Papúa Nueva Guinea,9119386,462840,Oceanía
Paraguay,7359000,406752,América
Perú,32971854,1285216,América
Polonia,37950802,312679,Europa
Portugal,10305564,92212,Europa
Reino Unido,67886011,242495,Europa
República Centroafricana,4829767,622984,África
República Checa,10901777,78866,Europa
República del Congo,5835806,342000,África
República Democrática del Congo,99010212,2344858,África
República Dominicana,10847904,48671,América
Ruanda,12952218,26338,África
Rumanía,19237691,238397,Europa
Rusia,145912025,17098242,Europa
Samoa,198410,2842,Oceanía
San Cristóbal y Nieves,53199,261,América
San Marino,34010,61,Europa
San Vicente y las Granadinas,110940,389,América
Santa Lucía,183627,616,América
Santo Tomé y Príncipe,219161,964,África
Senegal,16743927,196722,África
Serbia,6908224,77474,Europa
Seychelles,98347,455,África
Sierra Leona,7976983,71740,África
Singapur,5850342,719,Asia
Siria,17500658,185180,Asia
Somalia,15893222,637657,África
Sri Lanka,21919000,65610,Asia
Sudáfrica,59308690,1219090,África
Sudán,43849260,1861484,África
Sudán del Sur,11193725,619745,África
Suecia,10379295,450295,Europa
Suiza,8654622,41285,Europa
Surinam,586632,163820,América
Tailandia,69799978,513120,Asia
Tanzania,61498437,945087,África
Tayikistán,9537645,143100,Asia
Timor Oriental,1318445,14874,Asia
Togo,8278724,56785,África
Tonga,99532,747,Oceanía
Trinidad y Tobago,1399488,5130,América
Túnez,11818619,163610,África
Turkmenistán,6031187,488100,Asia
Turquía,84339067,783562,Asia
Tuvalu,11792,26,Oceanía
Ucrania,43993638,603550,Europa
Uganda,45741007,241038,África
Uruguay,3473727,176215,América
Uzbekistán,34915100,448978,Asia
Vanuatu,307145,12189,Oceanía
Venezuela,28435943,916445,América
Vietnam,97338579,331212,Asia
Yemen,33696614,527968,Asia
Yibuti,988000,23200,África
Zambia,18383955,752618,África
Zimbabue,14862924,390757,África
